cotovelo_direito,cotovelo_esquerdo,ombro_direito,ombro_esquerdo,cintura_direita,cintura_esquerda,joelho_direito,joelho_esquerdo,braco_direito,braco_esquerdo,figure,image_name
169,175,14,11,178,151,172,116,0.5305951383067896,0.5246179966044142,lib,lib_52.jpeg
173,168,7,18,141,178,110,169,0.504147465437788,0.5217777777777778,lib,flipped_lib_30.jpeg
171,178,17,9,175,174,177,176,0.5544554455445545,0.5226615236258437,lib,flipped_lib_43.jpeg
173,179,10,9,178,142,175,110,0.5423913043478261,0.5311804008908686,lib,perspective_1_lib_50.jpeg
172,170,7,18,134,177,100,166,0.5289330922242315,0.527651858567543,lib,flipped_lib_27.jpeg
171,177,15,9,178,147,176,112,0.5135135135135135,0.5080745341614907,lib,perspective_1_lib_23.jpeg
165,178,6,11,134,178,90,174,0.5073272854152129,0.506638714185884,lib,flipped_lib_9.jpeg
172,176,14,7,167,177,139,166,0.5215479331574319,0.5050045495905369,lib,flipped_lib_88.jpeg
179,172,10,6,179,139,170,102,0.5349829351535836,0.525674499564839,lib,lib_50.jpeg
168,172,15,6,178,147,176,103,0.5137299771167048,0.5246085011185683,lib,perspective_1_lib_25.jpeg
177,178,14,7,178,145,172,92,0.5182546749777382,0.5027573529411765,lib,lib_74.jpeg
164,177,14,12,177,160,176,119,0.502495840266223,0.5242641209228321,lib,lib_98.jpeg
168,176,17,11,179,174,176,178,0.5193889541715628,0.5409652076318743,lib,perspective_1_lib_32.jpeg
169,176,5,14,178,173,170,168,0.4900473933649289,0.5259911894273128,lib,lib_100.jpeg
167,177,5,11,147,178,113,166,0.5262222222222223,0.5328659070990359,lib,flipped_lib_50.jpeg
179,178,12,11,177,146,177,106,0.5130641330166271,0.5168892380204242,lib,perspective_1_lib_11.jpeg
165,166,19,21,179,170,173,167,0.49699054170249357,0.5408163265306123,lib,lib_85.jpeg
158,179,2,11,128,178,75,164,0.5022665457842248,0.5027173913043478,lib,flipped_lib_94.jpeg
179,176,8,15,159,176,120,178,0.5134146341463415,0.5311398354876615,lib,perspective_1_flipped_lib_22.jpeg
172,155,16,7,179,173,165,173,0.5453774385072095,0.4995331465919701,lib,flipped_lib_106.jpeg
171,159,16,7,165,177,150,160,0.5558272208638957,0.5277296360485269,lib,flipped_lib_103.jpeg
166,167,19,21,176,179,163,165,0.49478260869565216,0.5337078651685393,lib,lib_79.jpeg
177,164,10,21,168,176,144,173,0.5370065789473685,0.5240912933220625,lib,flipped_lib_53.jpeg
158,170,22,17,173,163,159,129,0.48707197763801535,0.5351488283723876,lib,lib_15.jpeg
177,177,14,10,175,176,174,176,0.5548011639185257,0.5263157894736842,lib,perspective_1_flipped_lib_36.jpeg
179,175,13,14,175,175,164,172,0.5395417590539542,0.5067300079176563,lib,flipped_lib_1.jpeg
173,166,9,8,175,139,173,99,0.5201005025125628,0.5299425758818704,lib,lib_71.jpeg
178,169,8,6,174,126,157,94,0.5319320937752627,0.5230642504118617,lib,lib_48.jpeg
178,166,10,20,153,179,115,166,0.5202360876897133,0.5210437710437711,lib,flipped_lib_23.jpeg
172,166,16,16,144,166,125,149,0.5501008742434432,0.49925149700598803,lib,flipped_lib_17.jpeg
158,175,1,12,157,174,99,179,0.4442988204456094,0.4934289127837515,lib,perspective_1_flipped_lib_96.jpeg
164,172,21,11,179,129,172,91,0.5130315500685871,0.5156889495225102,lib,perspective_1_lib_29.jpeg
177,176,9,7,177,143,169,105,0.5087719298245614,0.5144508670520231,lib,perspective_1_lib_8.jpeg
176,161,18,25,175,175,171,172,0.5576923076923077,0.5247079964061097,lib,flipped_lib_37.jpeg
172,171,17,15,169,155,160,133,0.5143805309734514,0.5294748124330118,lib,perspective_1_lib_79.jpeg
175,175,10,12,166,135,147,121,0.49728260869565216,0.5394190871369294,lib,perspective_1_lib_18.jpeg
179,174,14,12,174,153,179,117,0.5160256410256411,0.5089430894308943,lib,lib_67.jpeg
169,179,17,11,174,167,172,133,0.4930843706777317,0.5077233042310275,lib,lib_4.jpeg
152,172,16,15,178,170,167,158,0.47588717015468607,0.5362318840579711,lib,lib_106.jpeg
175,174,10,11,175,125,168,56,0.49455337690631807,0.4994606256742179,lib,perspective_1_lib_95.jpeg
171,168,19,18,169,165,156,166,0.4978050921861282,0.542765787370104,lib,lib_84.jpeg
163,169,20,8,173,127,169,82,0.5182926829268293,0.5303210463733651,lib,perspective_1_lib_28.jpeg
177,176,14,7,167,172,160,159,0.5223628691983122,0.4950936663693131,lib,perspective_1_flipped_lib_17.jpeg
172,165,15,18,179,175,167,177,0.5496894409937888,0.5443833464257659,lib,flipped_lib_58.jpeg
173,173,14,16,146,165,118,149,0.5393258426966292,0.5418994413407822,lib,perspective_1_flipped_lib_81.jpeg
163,177,19,10,173,150,168,117,0.515378221113882,0.5256305939788446,lib,lib_21.jpeg
171,174,20,14,175,175,172,171,0.5106177606177607,0.5180608365019012,lib,lib_77.jpeg
169,170,5,17,149,179,109,170,0.5071090047393365,0.5189639222941721,lib,flipped_lib_29.jpeg
179,172,11,14,151,175,115,175,0.529567519858782,0.5344978165938865,lib,flipped_lib_51.jpeg
174,174,10,15,115,175,69,175,0.5027085590465872,0.5010869565217392,lib,perspective_1_flipped_lib_93.jpeg
166,167,20,18,177,163,178,140,0.5220588235294118,0.5329341317365269,lib,perspective_1_lib_35.jpeg
168,177,13,13,178,145,175,73,0.49564270152505446,0.5256147540983607,lib,perspective_1_lib_97.jpeg
170,178,15,13,178,153,177,112,0.5191873589164786,0.5506329113924051,lib,perspective_1_lib_21.jpeg
170,165,18,18,155,178,130,171,0.5443383356070941,0.49962546816479403,lib,flipped_lib_16.jpeg
178,169,13,17,179,179,177,177,0.5348837209302325,0.5274102079395085,lib,flipped_lib_34.jpeg
169,177,5,16,155,170,113,176,0.518562874251497,0.5528364849833148,lib,perspective_1_flipped_lib_73.jpeg
177,169,14,14,176,179,162,169,0.5378787878787878,0.5354150799695354,lib,perspective_1_flipped_lib_14.jpeg
172,179,8,10,177,104,168,65,0.5148683092608326,0.5034782608695653,lib,perspective_1_lib_9.jpeg
163,173,23,17,156,134,147,113,0.4983277591973244,0.5248152059134108,lib,perspective_1_lib_17.jpeg
177,161,15,9,171,141,173,91,0.522279792746114,0.5247422680412371,lib,perspective_1_lib_72.jpeg
177,173,8,15,157,177,135,171,0.5159914712153518,0.5205913410770855,lib,perspective_1_flipped_lib_31.jpeg
176,178,11,8,178,175,172,177,0.5471478463329453,0.5423529411764706,lib,perspective_1_flipped_lib_44.jpeg
170,164,6,19,144,177,111,161,0.5055658627087198,0.5198198198198198,lib,flipped_lib_28.jpeg
174,168,13,16,169,148,166,129,0.5367573011077543,0.5806745670009116,lib,lib_42.jpeg
173,171,13,10,179,177,158,175,0.5284384694932782,0.5117773019271948,lib,perspective_1_flipped_lib_87.jpeg
169,178,16,9,157,171,142,173,0.5627283800243605,0.5391527599486521,lib,perspective_1_flipped_lib_41.jpeg
178,179,10,9,176,178,172,177,0.5263702171664943,0.5163674762407603,lib,perspective_1_flipped_lib_39.jpeg
176,173,12,11,178,177,161,177,0.520632133450395,0.520632133450395,lib,flipped_lib_86.jpeg
169,174,15,18,179,177,174,168,0.49252336448598133,0.5456066945606695,lib,perspective_1_lib_14.jpeg
178,166,7,5,177,115,162,65,0.5021607605877269,0.5,lib,lib_93.jpeg
175,170,10,3,177,132,168,102,0.5508870214752568,0.5352657004830917,lib,perspective_1_lib_48.jpeg
166,175,18,11,177,176,179,164,0.5194508009153318,0.5343680709534369,lib,perspective_1_lib_33.jpeg
168,174,19,8,179,132,178,86,0.508641975308642,0.5273159144893111,lib,perspective_1_lib_26.jpeg
174,166,14,16,169,150,165,129,0.5457348406988695,0.5782442748091603,lib,lib_40.jpeg
167,167,15,15,172,156,171,141,0.5300480769230769,0.5432242990654206,lib,perspective_1_lib_40.jpeg
169,174,15,9,175,137,165,96,0.5209940017137961,0.5226302305721605,lib,lib_23.jpeg
176,176,10,8,174,135,175,92,0.5097902097902098,0.5097902097902098,lib,lib_8.jpeg
159,167,24,20,177,179,173,176,0.5009107468123861,0.5463576158940397,lib,lib_38.jpeg
178,175,12,7,178,178,174,175,0.5313688212927756,0.5,lib,perspective_1_flipped_lib_80.jpeg
175,172,12,19,138,177,104,172,0.4980793854033291,0.5130434782608696,lib,perspective_1_flipped_lib_29.jpeg
174,167,8,21,151,176,121,170,0.5347222222222222,0.5260831122900088,lib,flipped_lib_31.jpeg
173,164,18,23,178,174,172,173,0.5607638888888888,0.5344986200551978,lib,flipped_lib_38.jpeg
169,176,18,10,176,155,179,98,0.5076551168412571,0.50163132137031,lib,lib_64.jpeg
177,173,13,17,150,170,112,178,0.5210589651022864,0.5372093023255814,lib,perspective_1_flipped_lib_51.jpeg
176,166,12,15,140,179,106,170,0.5097365406643757,0.5185601799775028,lib,perspective_1_flipped_lib_47.jpeg
173,175,9,16,158,176,121,175,0.5194174757281553,0.5035816618911175,lib,flipped_lib_5.jpeg
176,169,12,18,177,173,146,177,0.5273037542662116,0.5215889464594128,lib,perspective_1_flipped_lib_4.jpeg
155,175,26,13,174,142,174,108,0.5385542168674698,0.5472813238770685,lib,perspective_1_lib_31.jpeg
150,171,15,17,178,161,167,137,0.5099667774086378,0.5513307984790875,lib,lib_105.jpeg
167,166,17,16,168,145,150,132,0.47952345495160087,0.5324414715719064,lib,lib_17.jpeg
173,167,24,20,178,178,179,176,0.5125448028673835,0.4962962962962963,lib,perspective_1_flipped_lib_85.jpeg
171,175,14,10,178,154,177,130,0.5335775335775336,0.5312883435582823,lib,perspective_1_lib_46.jpeg
174,173,18,14,174,166,170,125,0.5190839694656488,0.5053974484789009,lib,lib_76.jpeg
170,171,3,13,126,176,76,164,0.5022789425706472,0.5103139013452915,lib,flipped_lib_95.jpeg
159,175,20,13,175,126,165,49,0.48982188295165396,0.5024813895781638,lib,perspective_1_lib_96.jpeg
175,178,6,12,171,173,138,175,0.5171875,0.5231481481481481,lib,perspective_1_flipped_lib_5.jpeg
162,171,19,16,170,156,155,135,0.4899713467048711,0.5376623376623376,lib,lib_16.jpeg
176,177,13,10,177,178,178,177,0.5293427230046949,0.5337209302325582,lib,perspective_1_flipped_lib_86.jpeg
171,179,4,16,157,176,113,169,0.49564375605033884,0.5263636363636364,lib,flipped_lib_74.jpeg
173,156,16,8,170,177,156,179,0.5390813859790492,0.5085910652920962,lib,flipped_lib_104.jpeg
173,166,21,21,176,176,174,177,0.5100671140939598,0.48711943793911006,lib,perspective_1_flipped_lib_84.jpeg
176,167,8,17,140,173,100,165,0.5054704595185996,0.5186368477103301,lib,perspective_1_flipped_lib_30.jpeg
177,171,17,16,170,163,176,127,0.5022222222222222,0.539568345323741,lib,perspective_1_lib_89.jpeg
176,167,18,21,178,174,177,165,0.5533898305084746,0.5282005371530887,lib,flipped_lib_36.jpeg
159,175,5,15,175,173,172,148,0.48777648428405124,0.5416666666666666,lib,perspective_1_lib_106.jpeg
173,179,16,8,167,169,158,165,0.5660731021555764,0.5478515625,lib,flipped_lib_42.jpeg
177,177,15,12,167,169,157,168,0.5419766206163655,0.5552115583075335,lib,perspective_1_flipped_lib_57.jpeg
176,175,12,6,175,143,169,105,0.5212489158716392,0.5369127516778524,lib,lib_72.jpeg
171,178,4,12,151,174,107,176,0.5240032546786005,0.5050761421319797,lib,perspective_1_flipped_lib_11.jpeg
158,167,24,20,179,174,173,179,0.5131459655485041,0.5425894378194208,lib,lib_35.jpeg
174,172,13,18,176,179,168,177,0.5462459194776932,0.537180910099889,lib,perspective_1_flipped_lib_34.jpeg
171,178,20,18,168,178,153,177,0.5337423312883436,0.5165394402035624,lib,perspective_1_flipped_lib_38.jpeg
169,178,5,15,144,176,97,171,0.5225537820957669,0.502530730296457,lib,flipped_lib_11.jpeg
168,176,20,18,168,175,158,173,0.5340253748558247,0.493099121706399,lib,perspective_1_flipped_lib_37.jpeg
172,177,14,14,173,175,175,166,0.531322505800464,0.5475923852183651,lib,perspective_1_lib_56.jpeg
174,176,19,15,171,163,165,120,0.49382716049382713,0.49795918367346936,lib,perspective_1_lib_13.jpeg
177,169,13,16,169,176,144,173,0.5209059233449478,0.5053956834532374,lib,perspective_1_flipped_lib_3.jpeg
168,175,15,9,179,151,176,105,0.5291428571428571,0.5296803652968036,lib,perspective_1_lib_51.jpeg
171,168,17,22,176,179,178,139,0.4831981460023175,0.5334728033472803,lib,perspective_1_lib_80.jpeg
173,164,10,3,174,125,166,63,0.5061619718309859,0.5078947368421053,lib,lib_95.jpeg
169,169,16,9,174,134,164,92,0.5249343832020997,0.5343053173241853,lib,lib_24.jpeg
175,173,16,12,176,171,163,166,0.5423452768729642,0.5359207266721717,lib,flipped_lib_56.jpeg
174,170,18,20,172,176,148,171,0.5185643564356436,0.5215252152521526,lib,perspective_1_flipped_lib_35.jpeg
176,178,18,12,175,177,170,111,0.5006305170239597,0.52,lib,perspective_1_lib_77.jpeg
161,163,26,20,165,146,147,122,0.5132819194515853,0.5520504731861199,lib,lib_81.jpeg
177,177,16,12,171,163,168,107,0.523109243697479,0.529045643153527,lib,perspective_1_lib_67.jpeg
156,175,23,18,174,166,178,167,0.5032317636195752,0.5337954939341422,lib,lib_34.jpeg
167,178,12,12,179,140,176,91,0.4995547640249332,0.5204778156996587,lib,lib_97.jpeg
173,175,14,7,174,157,175,120,0.5146927871772039,0.4911297852474323,lib,perspective_1_lib_12.jpeg
173,172,16,16,159,177,131,175,0.5171232876712328,0.5361842105263158,lib,perspective_1_flipped_lib_53.jpeg
174,154,17,14,176,173,162,176,0.5599343185550082,0.526919682259488,lib,flipped_lib_105.jpeg
177,173,12,10,145,176,106,163,0.5091407678244972,0.5018552875695733,lib,flipped_lib_90.jpeg
169,178,20,10,174,157,178,90,0.5203045685279187,0.4973404255319149,lib,perspective_1_lib_75.jpeg
169,168,14,15,151,165,137,144,0.5294642857142857,0.5213442325158947,lib,perspective_1_flipped_lib_19.jpeg
170,161,25,22,179,176,161,152,0.5446205170975813,0.49303621169916434,lib,perspective_1_flipped_lib_15.jpeg
178,179,16,9,178,156,168,111,0.5249584026622296,0.5165114309906859,lib,lib_69.jpeg
172,172,5,17,152,175,111,177,0.5010570824524313,0.5158974358974359,lib,perspective_1_flipped_lib_24.jpeg
175,171,14,9,178,138,175,91,0.5034578146611342,0.5105657805044308,lib,lib_11.jpeg
176,171,10,16,170,177,145,178,0.5233302836230558,0.5246350364963503,lib,flipped_lib_33.jpeg
159,178,19,9,173,139,174,100,0.5171673819742489,0.5263157894736842,lib,perspective_1_lib_30.jpeg
170,176,14,15,174,168,166,151,0.5026575550493546,0.5253623188405797,lib,lib_1.jpeg
171,179,6,12,139,176,94,178,0.5192697768762677,0.5034916201117319,lib,flipped_lib_7.jpeg
176,174,13,12,173,159,178,118,0.5141430948419301,0.5112970711297071,lib,lib_68.jpeg
173,173,13,16,115,172,61,177,0.4878980891719745,0.5012406947890818,lib,perspective_1_flipped_lib_95.jpeg
155,167,14,17,175,149,161,131,0.5203996669442131,0.5507020280811232,lib,lib_103.jpeg
175,177,14,12,179,146,171,114,0.5076271186440678,0.5150250417362271,lib,lib_22.jpeg
179,171,12,7,176,133,170,91,0.5016857720836143,0.5086436170212766,lib,lib_7.jpeg
97,175,40,13,179,178,170,163,0.20075046904315197,0.538961038961039,lib,perspective_1_lib_105.jpeg
176,166,11,20,160,177,125,177,0.5259454705364995,0.5263620386643234,lib,flipped_lib_32.jpeg
177,173,10,17,161,174,134,174,0.5391156462585034,0.5402883799830365,lib,flipped_lib_52.jpeg
177,171,6,18,144,178,108,173,0.500570125427594,0.5127919911012235,lib,perspective_1_flipped_lib_28.jpeg
163,172,17,10,179,154,177,110,0.5405405405405406,0.5361803084223014,lib,perspective_1_lib_52.jpeg
169,178,1,19,150,172,99,170,0.5296229802513465,0.5218978102189781,lib,flipped_lib_73.jpeg
172,171,16,13,179,179,177,176,0.5223214285714286,0.5078196872125115,lib,perspective_1_flipped_lib_0.jpeg
162,174,21,9,174,143,171,112,0.5262704565030146,0.5188101487314086,lib,lib_31.jpeg
179,178,13,6,176,173,178,117,0.5165198237885462,0.4954022988505747,lib,perspective_1_lib_76.jpeg
169,179,18,13,177,170,174,154,0.514575411913815,0.5456702253855279,lib,perspective_1_lib_39.jpeg
171,173,15,17,176,170,172,148,0.49516728624535317,0.5170697012802276,lib,lib_2.jpeg
168,153,15,9,167,174,156,167,0.5390492359932089,0.49722222222222223,lib,flipped_lib_102.jpeg
173,175,16,14,170,174,164,178,0.5345773874862788,0.5330396475770925,lib,perspective_1_flipped_lib_56.jpeg
170,170,19,14,167,173,148,157,0.5516569200779727,0.5050215208034433,lib,flipped_lib_15.jpeg
177,177,5,17,160,171,114,171,0.5073313782991202,0.5263157894736842,lib,flipped_lib_75.jpeg
159,175,24,16,177,179,179,150,0.4973474801061008,0.5572429906542056,lib,perspective_1_lib_34.jpeg
174,173,9,11,178,118,178,78,0.5250544662309368,0.5311827956989247,lib,perspective_1_lib_49.jpeg
177,169,16,19,174,177,174,175,0.5373134328358209,0.515625,lib,flipped_lib_39.jpeg
176,171,6,14,176,166,177,154,0.5511302475780409,0.5705458290422245,lib,perspective_1_lib_42.jpeg
173,176,16,15,175,172,179,150,0.5243055555555556,0.5254041570438799,lib,perspective_1_lib_45.jpeg
175,178,13,12,176,155,176,108,0.5047619047619047,0.5296052631578947,lib,perspective_1_lib_5.jpeg
170,175,12,12,174,175,175,174,0.5148601398601399,0.5173913043478261,lib,lib_86.jpeg
167,160,19,11,172,179,157,179,0.5344224037339557,0.503731343283582,lib,perspective_1_flipped_lib_100.jpeg
179,179,1,15,152,173,113,172,0.5284974093264249,0.5284974093264249,lib,flipped_lib_71.jpeg
176,173,11,9,175,128,166,98,0.53556827473426,0.5328947368421053,lib,lib_47.jpeg
166,176,16,12,156,167,143,168,0.5568862275449101,0.5742232451093211,lib,perspective_1_flipped_lib_42.jpeg
